Pressure (hPa),RH (percent) 0,RH (percent) 30,RH (percent) 60,RH (percent) 90,RH (percent) 100
30,-69.61,-68.67,-67.36,-64.93,-61.74
50,-65.53,-64.54,-63.17,-60.64,-57.15
100,-59.68,-58.63,-57.17,-54.47,-50.92
115,-58.45,-57.39,-55.91,-53.17,-49.61
130,-57.36,-56.29,-54.79,-52.02,-48.43
150,-56.07,-54.99,-53.47,-50.66,-47.01
175,-54.67,-53.56,-52.02,-49.18,-45.42
200,-53.43,-52.31,-50.76,-47.87,-44.12
250,-51.33,-50.19,-48.6,-45.65,-41.8
300,-49.58,-48.42,-46.8,-43.79,-39.87
350,-48.07,-46.89,-45.25,-42.2,-38.23
400,-46.75,-45.55,-43.89,-40.8,-36.77
450,-45.57,-44.36,-42.67,-39.54,-35.46
500,-44.5,-43.27,-41.57,-38.41,-34.28
600,-42.62,-41.37,-39.63,-36.41,-32.18
700,-41,-39.73,-37.97,-34.69,-30.4
800,-39.58,-38.29,-36.5,-33.18,-28.84
900,-38.3,-37,-35.19,-31.82,-27.43
1000,-37.15,-35.84,-34,-30.6,-26.15